date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/08/01,1,0,1,1,1
2022/08/01,3,0,4,1,2
2022/08/01,4,0,8,1,3
2022/08/01,2,0,10,1,4
2022/08/01,1,8,3,1,5
2022/08/01,0,0,0,2,1
2022/08/01,7,0,7,2,2
2022/08/01,2,0,9,2,3
2022/08/01,1,0,10,2,4
2022/08/01,0,11,-1,2,5
2022/08/01,2,0,2,3,1
2022/08/01,12,0,14,3,2
2022/08/01,0,0,14,3,3
2022/08/01,3,0,17,3,4
2022/08/01,1,12,6,3,5
2022/08/01,1,0,1,4,1
2022/08/01,6,0,7,4,2
2022/08/01,5,0,12,4,3
2022/08/01,3,0,15,4,4
2022/08/01,1,13,3,4,5
2022/08/01,1,0,1,5,1
2022/08/01,6,0,7,5,2
2022/08/01,1,0,8,5,3
2022/08/01,7,0,15,5,4
2022/08/01,0,11,4,5,5
2022/08/01,1,0,1,6,1
2022/08/01,7,0,8,6,2
2022/08/01,0,0,8,6,3
2022/08/01,4,0,12,6,4
2022/08/01,0,10,2,6,5
2022/08/01,4,0,4,7,1
2022/08/01,4,0,8,7,2
2022/08/01,1,0,9,7,3
2022/08/01,8,0,17,7,4
2022/08/01,0,14,3,7,5
2022/08/01,0,0,0,8,1
2022/08/01,3,0,3,8,2
2022/08/01,2,0,5,8,3
2022/08/01,11,0,16,8,4
2022/08/01,0,13,3,8,5
2022/08/01,1,0,1,9,1
2022/08/01,2,0,3,9,2
2022/08/01,1,0,4,9,3
2022/08/01,3,0,7,9,4
2022/08/01,0,5,2,9,5
2022/08/01,4,0,4,10,1
2022/08/01,4,0,8,10,2
2022/08/01,0,0,8,10,3
2022/08/01,7,0,15,10,4
2022/08/01,1,9,7,10,5
2022/08/01,10,0,10,11,1
2022/08/01,1,0,5,11,2
2022/08/01,0,0,5,11,3
2022/08/01,3,0,8,11,4
2022/08/01,0,7,1,11,5
2022/08/01,4,0,4,12,1
2022/08/01,7,0,11,12,2
2022/08/01,3,0,14,12,3
2022/08/01,4,0,18,12,4
2022/08/01,0,12,6,12,5
2022/08/01,4,0,4,13,1
2022/08/01,2,0,12,13,2
2022/08/01,0,0,12,13,3
2022/08/01,2,0,14,13,4
2022/08/01,0,5,9,13,5
2022/08/01,6,0,6,14,1
2022/08/01,3,0,9,14,2
2022/08/01,1,0,10,14,3
2022/08/01,2,0,12,14,4
2022/08/01,0,6,6,14,5
2022/08/01,1,0,1,15,1
2022/08/01,4,0,5,15,2
2022/08/01,0,0,5,15,3
2022/08/01,3,0,8,15,4
2022/08/01,0,7,1,15,5
2022/08/01,6,0,6,16,1
2022/08/01,6,0,7,16,2
2022/08/01,0,0,7,16,3
2022/08/01,7,0,14,16,4
2022/08/01,2,17,-1,16,5
2022/08/01,1,0,1,17,1
2022/08/01,4,0,10,17,2
2022/08/01,0,0,10,17,3
2022/08/01,9,0,19,17,4
2022/08/01,0,14,5,17,5
2022/08/01,0,0,0,18,1
